id,title,alias,path
417,apple,apple,
418,lenovo,lenovo,
420,asus,asus,
421,dell,dell,
422,hp,hp,
423,acer,acer,
424,fujitsu,fujitsu,
425,microsoft,microsoft,
426,sony,sony,
427,battery,battery,
428,orginal,orginal,
429,bps13,bps13,
430,silver,silver,
431,black,black,
432,bps22,bps22,
433,bps26,bps26,
434,باتری,باتری,
435,باطری,باطری,
436,باتری لپتاپ,باتری لپتاپ,
437,باتری اورجینال لپتاپ,باتری اورجینال لپتاپ,
438,باتری لپتاپ سونی,باتری لپتاپ سونی,
439,باتری لپ تاپ سونی BPS26,باتری لپ تاپ سونی BPS26,
440,باتری اورجینال لپ تاپ سونی BPS25,باتری اورجینال لپ تاپ سونی BPS25,
441,اورجینال لپ تاپ سونی,اورجینال لپ تاپ سونی,
442,سونی,سونی,
443,باتری سونی,باتری سونی,
444,باتری لپ تاپ سونی مدل VGPBPS26,باتری لپ تاپ سونی مدل VGPBPS26,
445,VGP BPS22,VGP BPS22,
446,VGPBPS22,VGPBPS22,
